print_id,card_number,name_ja,tags,ko_name,ko_text,ko_memo
258,hBP01-032,アキ・ローゼンタール,"#1期生, #JP, #お酒, #ハーフエルフ",,,
257,hBP01-033,アキ・ローゼンタール,"#1期生, #JP, #お酒, #ハーフエルフ",,,
261,hBP01-034,アキ・ローゼンタール,"#1期生, #JP, #お酒, #ハーフエルフ",,,
256,hBP01-035,アキ・ローゼンタール,"#1期生, #JP, #お酒, #ハーフエルフ",,,
263,hBP01-036,アキ・ローゼンタール,"#1期生, #JP, #お酒, #ハーフエルフ",,,
265,hBP01-037,アキ・ローゼンタール,"#1期生, #JP, #お酒, #ハーフエルフ",,,
264,hBP01-038,兎田ぺこら,"#3期生, #JP, #ケモミミ",,,
267,hBP01-039,兎田ぺこら,"#3期生, #JP, #ケモミミ",,,
268,hBP01-040,兎田ぺこら,"#3期生, #JP, #ケモミミ",,,
269,hBP01-041,兎田ぺこら,"#3期生, #JP, #ケモミミ",,,
272,hBP01-042,兎田ぺこら,"#3期生, #JP, #ケモミミ",,,
271,hBP01-043,兎田ぺこら,"#3期生, #JP, #ケモミミ",,,
273,hBP01-044,AZKi,"#0期生, #JP, #歌",,,
275,hBP01-045,AZKi,"#0期生, #JP, #歌",,,
276,hBP01-046,AZKi,"#0期生, #JP, #歌",,,
277,hBP01-047,AZKi,"#0期生, #JP, #歌",,,
270,hBP01-048,風真いろは,"#JP, #秘密結社holoX",,,
279,hBP01-049,風真いろは,"#JP, #秘密結社holoX",,,
280,hBP01-050,風真いろは,"#JP, #秘密結社holoX",,,
282,hBP01-051,風真いろは,"#JP, #秘密結社holoX",,,
283,hBP01-052,アイラニ・イオフィフティーン,"#ID, #ID1期生, #絵",,,
290,hBP01-053,アイラニ・イオフィフティーン,"#ID, #ID1期生, #絵",,,
288,hBP01-054,アイラニ・イオフィフティーン,"#ID, #ID1期生, #絵",,,
287,hBP01-055,アイラニ・イオフィフティーン,"#ID, #ID1期生, #絵",,,
289,hBP01-056,鷹嶺ルイ,"#JP, #お酒, #トリ, #秘密結社holoX",,,
286,hBP01-057,鷹嶺ルイ,"#JP, #お酒, #トリ, #秘密結社holoX",,,
285,hBP01-058,鷹嶺ルイ,"#JP, #お酒, #トリ, #秘密結社holoX",,,
291,hBP01-059,鷹嶺ルイ,"#JP, #お酒, #トリ, #秘密結社holoX",,,
292,hBP01-060,鷹嶺ルイ,"#JP, #お酒, #トリ, #秘密結社holoX",,,
293,hBP01-061,鷹嶺ルイ,"#JP, #お酒, #トリ, #秘密結社holoX",,,
295,hBP01-062,小鳥遊キアラ,"#EN, #Myth, #トリ",,,
294,hBP01-063,小鳥遊キアラ,"#EN, #Myth, #トリ",,,
296,hBP01-064,小鳥遊キアラ,"#EN, #Myth, #トリ",,,
297,hBP01-065,小鳥遊キアラ,"#EN, #Myth, #トリ",,,
298,hBP01-066,小鳥遊キアラ,"#EN, #Myth, #トリ",,,
299,hBP01-067,小鳥遊キアラ,"#EN, #Myth, #トリ",,,
301,hBP01-068,尾丸ポルカ,"#5期生, #JP, #ケモミミ",,,
303,hBP01-069,尾丸ポルカ,"#5期生, #JP, #ケモミミ",,,
306,hBP01-070,尾丸ポルカ,"#5期生, #JP, #ケモミミ",,,
302,hBP01-071,尾丸ポルカ,"#5期生, #JP, #ケモミミ",,,
300,hBP01-072,ハコス・ベールズ,"#EN, #Promise, #ケモミミ",,,
304,hBP01-073,ハコス・ベールズ,"#EN, #Promise, #ケモミミ",,,
308,hBP01-074,ハコス・ベールズ,"#EN, #Promise, #ケモミミ",,,
309,hBP01-075,ハコス・ベールズ,"#EN, #Promise, #ケモミミ",,,
310,hBP01-076,星街すいせい,"#0期生, #JP, #歌",,,
312,hBP01-077,星街すいせい,"#0期生, #JP, #歌",,,
314,hBP01-078,星街すいせい,"#0期生, #JP, #歌",,,
313,hBP01-079,星街すいせい,"#0期生, #JP, #歌",,,
320,hBP01-080,星街すいせい,"#0期生, #JP, #歌",,,
319,hBP01-081,星街すいせい,"#0期生, #JP, #歌",,,
318,hBP01-082,こぼ・かなえる,"#ID, #ID3期生",,,
316,hBP01-083,こぼ・かなえる,"#ID, #ID3期生",,,
322,hBP01-084,こぼ・かなえる,"#ID, #ID3期生",,,
317,hBP01-085,こぼ・かなえる,"#ID, #ID3期生",,,
315,hBP01-086,こぼ・かなえる,"#ID, #ID3期生",,,
323,hBP01-087,こぼ・かなえる,"#ID, #ID3期生",,,
324,hBP01-088,ムーナ・ホシノヴァ,"#ID, #ID1期生, #歌",,,
326,hBP01-089,ムーナ・ホシノヴァ,"#ID, #ID1期生, #歌",,,
328,hBP01-090,ムーナ・ホシノヴァ,"#ID, #ID1期生, #歌",,,
327,hBP01-091,ムーナ・ホシノヴァ,"#ID, #ID1期生, #歌",,,
329,hBP01-092,オーロ・クロニー,"#EN, #Promise",,,
335,hBP01-093,オーロ・クロニー,"#EN, #Promise",,,
336,hBP01-094,オーロ・クロニー,"#EN, #Promise",,,
334,hBP01-095,オーロ・クロニー,"#EN, #Promise",,,
331,hBP01-096,兎田ぺこら,"#3期生, #JP, #ケモミミ",,,
332,hBP01-097,不知火フレア,"#3期生, #JP, #ハーフエルフ",,,
333,hBP01-098,白銀ノエル,"#3期生, #JP, #お酒",,,
330,hBP01-099,宝鐘マリン,"#3期生, #JP, #海, #絵",,,
337,hBP01-100,森カリオペ,"#EN, #Myth, #歌",,,
339,hBP01-101,ワトソン・アメリア,"#EN, #Myth",,,
161,hBP01-102,アイドルマイク,,,,
160,hBP01-103,ゲーミングパソコン,,,,
338,hBP01-104,ふつうのパソコン,,,,
340,hBP01-105,ペンライト,,,,
344,hBP01-106,あとは任せた！,,,,
163,hBP01-107,アンコール,,,,
341,hBP01-108,じゃあ敵だね,,,,
162,hBP01-109,月と兎の物語,,,,
164,hBP01-110,鈍器でぶっ叩くわよ！,,,,
169,hBP01-111,ホロライブインドネシア3期生,,,,
165,hBP01-112,わくわくいたずらタイム,,,,
166,hBP01-113,Promise,,,,
342,hBP01-114,石の斧,,,,
168,hBP01-115,星街すいせいのマイク,,,,
343,hBP01-116,うぱお,,,,
172,hBP01-117,フレンド,,,,
170,hBP01-118,あん肝,,,,
171,hBP01-119,ジョブズ,,,,
167,hBP01-120,がんも,,,,
173,hBP01-121,Kotori,,,,
174,hBP01-122,ロゼ隊,,,,
175,hBP01-123,野うさぎ同盟,,,,
176,hBP01-124,開拓者,,,,
177,hBP01-125,KFP,,,,
348,hBP01-126,座員,,,,
351,hBP02-001,白上フブキ,,,,
346,hBP02-002,パヴォリア・レイネ,,,,
349,hBP02-003,宝鐘マリン,,,,
350,hBP02-004,沙花叉クロヱ,,,,
345,hBP02-005,紫咲シオン,,,,
347,hBP02-006,クレイジー・オリー,,,,
352,hBP02-007,森カリオペ,,,,
353,hBP02-008,白上フブキ,"#1期生, #JP, #ケモミミ, #ゲーマーズ, #絵",,,
355,hBP02-009,白上フブキ,"#1期生, #JP, #ケモミミ, #ゲーマーズ, #絵",,,
357,hBP02-010,白上フブキ,"#1期生, #JP, #ケモミミ, #ゲーマーズ, #絵",,,
356,hBP02-011,白上フブキ,"#1期生, #JP, #ケモミミ, #ゲーマーズ, #絵",,,
359,hBP02-012,白上フブキ,"#1期生, #JP, #ケモミミ, #ゲーマーズ, #絵",,,
358,hBP02-013,白上フブキ,"#1期生, #JP, #ケモミミ, #ゲーマーズ, #絵",,,
363,hBP02-014,白銀ノエル,"#3期生, #JP, #お酒",,,
367,hBP02-015,白銀ノエル,"#3期生, #JP, #お酒",,,
366,hBP02-016,白銀ノエル,"#3期生, #JP, #お酒",,,
361,hBP02-017,白銀ノエル,"#3期生, #JP, #お酒",,,
362,hBP02-018,パヴォリア・レイネ,"#ID, #ID2期生, #トリ, #絵",,,
360,hBP02-019,パヴォリア・レイネ,"#ID, #ID2期生, #トリ, #絵",,,
365,hBP02-020,パヴォリア・レイネ,"#ID, #ID2期生, #トリ, #絵",,,
368,hBP02-021,パヴォリア・レイネ,"#ID, #ID2期生, #トリ, #絵",,,
370,hBP02-022,パヴォリア・レイネ,"#ID, #ID2期生, #トリ, #絵",,,
369,hBP02-023,パヴォリア・レイネ,"#ID, #ID2期生, #トリ, #絵",,,
371,hBP02-024,大神ミオ,"#JP, #ケモミミ, #ゲーマーズ, #料理",,,
374,hBP02-025,大神ミオ,"#JP, #ケモミミ, #ゲーマーズ, #料理",,,
372,hBP02-026,大神ミオ,"#JP, #ケモミミ, #ゲーマーズ, #料理",,,
373,hBP02-027,大神ミオ,"#JP, #ケモミミ, #ゲーマーズ, #料理",,,
379,hBP02-028,宝鐘マリン,"#3期生, #JP, #海, #絵",,,
378,hBP02-029,宝鐘マリン,"#3期生, #JP, #お酒, #海, #絵",,,
375,hBP02-030,宝鐘マリン,"#3期生, #JP, #海, #絵",,,
382,hBP02-031,宝鐘マリン,"#3期生, #JP, #海, #絵",,,
377,hBP02-032,宝鐘マリン,"#3期生, #JP, #海, #絵",,,
380,hBP02-033,宝鐘マリン,"#3期生, #JP, #海, #絵",,,
376,hBP02-034,百鬼あやめ,"#2期生, #JP, #シューター",,,
381,hBP02-035,沙花叉クロヱ,"#JP, #海, #秘密結社holoX",,,
383,hBP02-036,沙花叉クロヱ,"#JP, #海, #秘密結社holoX",,,
384,hBP02-037,沙花叉クロヱ,"#JP, #海, #秘密結社holoX",,,
385,hBP02-038,沙花叉クロヱ,"#JP, #海, #秘密結社holoX",,,
387,hBP02-039,沙花叉クロヱ,"#JP, #海, #秘密結社holoX",,,
388,hBP02-040,沙花叉クロヱ,"#JP, #海, #秘密結社holoX",,,
386,hBP02-041,猫又おかゆ,"#JP, #ケモミミ, #ゲーマーズ, #歌",,,
389,hBP02-042,紫咲シオン,"#2期生, #JP",,,
396,hBP02-043,紫咲シオン,"#2期生, #JP",,,
391,hBP02-044,紫咲シオン,"#2期生, #JP, #ケモミミ",,,
395,hBP02-045,紫咲シオン,"#2期生, #JP",,,
392,hBP02-046,紫咲シオン,"#2期生, #JP",,,
397,hBP02-047,紫咲シオン,"#2期生, #JP",,,
390,hBP02-048,クレイジー・オリー,"#ID, #ID2期生, #語学",,,
394,hBP02-049,クレイジー・オリー,"#ID, #ID2期生, #語学",,,
393,hBP02-050,クレイジー・オリー,"#ID, #ID2期生, #語学",,,
398,hBP02-051,クレイジー・オリー,"#ID, #ID2期生, #語学",,,
399,hBP02-052,クレイジー・オリー,"#ID, #ID2期生, #語学",,,
400,hBP02-053,クレイジー・オリー,"#ID, #ID2期生, #語学",,,
403,hBP02-054,森カリオペ,"#EN, #Myth, #歌",,,
402,hBP02-055,森カリオペ,"#EN, #Myth, #歌",,,
401,hBP02-056,森カリオペ,"#EN, #Myth, #歌",,,
406,hBP02-057,森カリオペ,"#EN, #Myth, #歌",,,
410,hBP02-058,森カリオペ,"#EN, #Myth, #歌",,,
408,hBP02-059,森カリオペ,"#EN, #Myth, #歌",,,
407,hBP02-060,癒月ちょこ,"#2期生, #JP, #料理",,,
405,hBP02-061,一伊那尓栖,"#EN, #Myth, #海, #絵",,,
409,hBP02-062,一伊那尓栖,"#EN, #Myth, #海, #絵",,,
411,hBP02-063,一伊那尓栖,"#EN, #Myth, #海, #絵",,,
412,hBP02-064,一伊那尓栖,"#EN, #Myth, #海, #絵",,,
413,hBP02-065,ネリッサ・レイヴンクロフト,"#Advent, #EN, #トリ, #歌",,,
417,hBP02-066,ネリッサ・レイヴンクロフト,"#Advent, #EN, #トリ, #歌",,,
418,hBP02-067,ネリッサ・レイヴンクロフト,"#Advent, #EN, #トリ, #歌",,,
415,hBP02-068,ネリッサ・レイヴンクロフト,"#Advent, #EN, #トリ, #歌",,,
113,hBP02-069,魔法少女みこ,"#0期生, #ホロウィッチ, #魔法",,,
114,hBP02-070,魔法少女かなた,"#4期生, #ホロウィッチ, #魔法",,,
116,hBP02-071,魔法少女ルーナ,"#4期生, #ホロウィッチ, #魔法",,,
115,hBP02-072,魔法少女シオン,"#2期生, #ホロウィッチ, #魔法",,,
117,hBP02-073,魔法少女マリン,"#3期生, #ホロウィッチ, #魔法",,,
119,hBP02-074,魔法少女クロヱ,"#ホロウィッチ, #秘密結社holoX, #魔法",,,
118,hBP02-075,アイドルサインペン,,,,
419,hBP02-076,カスタムパソコン,,,,
416,hBP02-077,レトロパソコン,,,,
120,hBP02-078,かなた建設,,,,
123,hBP02-079,爆発の魔法,#魔法,,,
422,hBP02-080,秘密結社holoX,,,,
121,hBP02-081,ホロライブ インドネシア2期生,,,,
127,hBP02-082,ホロライブゲーマーズ,,,,
124,hBP02-083,魔法のタンス,#魔法,,,
420,hBP02-084,みっころね24,,,,
126,hBP02-085,HOLOLIVE FANTASY,,,,
125,hBP02-086,ホロスパークリング,,,,
122,hBP02-087,紫咲シオンの魔法のステッキ,#魔法,,,
129,hBP02-088,森カリオペの鎌,,,,
128,hBP02-089,おるやんけ,#白上'sキャラクター,,,
130,hBP02-090,ネジマキツネ,#白上'sキャラクター,,,
131,hBP02-091,フブチュン,#白上'sキャラクター,,,
134,hBP02-092,フブラ,#白上'sキャラクター,,,
132,hBP02-093,ミテイル,#白上'sキャラクター,,,
133,hBP02-094,Tatang,,,,
426,hBP02-095,ドクロくん,,,,
142,hBP02-096,イヌ,,,,
138,hBP02-097,UDIN,,,,
139,hBP02-098,Death-sensei,,,,
135,hBP02-099,すこん部,#白上'sキャラクター,,,
140,hBP02-100,白銀聖騎士団,,,,
141,hBP02-101,ミオファ,,,,
136,hBP02-102,塩っ子,,,,
423,hBP03-001,姫森ルーナ,,,,
421,hBP03-002,獅白ぼたん,,,,
427,hBP03-003,さくらみこ,,,,
425,hBP03-004,FUWAMOCO,,,,
424,hBP03-005,常闇トワ,,,,
428,hBP03-006,戌神ころね,,,,
429,hBP03-007,角巻わため,,,,
430,hBP03-008,アユンダ・リス,,,,
431,hBP03-009,姫森ルーナ,"#4期生, #JP, #ベイビー",,,
432,hBP03-010,姫森ルーナ,"#4期生, #JP, #ベイビー",,,
434,hBP03-011,姫森ルーナ,"#4期生, #JP, #ベイビー",,,
437,hBP03-012,姫森ルーナ,"#4期生, #JP, #ベイビー",,,
438,hBP03-013,姫森ルーナ,"#4期生, #JP, #ベイビー",,,
442,hBP03-014,姫森ルーナ,"#4期生, #JP, #ベイビー",,,
435,hBP03-015,轟はじめ,"#DEV_IS, #ReGLOSS, #ベイビー",,,
436,hBP03-016,獅白ぼたん,"#5期生, #JP, #ケモミミ, #シューター",,,
439,hBP03-017,獅白ぼたん,"#5期生, #JP, #ケモミミ, #シューター",,,
441,hBP03-018,獅白ぼたん,"#5期生, #JP, #ケモミミ, #シューター",,,
440,hBP03-019,獅白ぼたん,"#5期生, #JP, #ケモミミ, #シューター",,,
443,hBP03-020,獅白ぼたん,"#5期生, #JP, #ケモミミ, #シューター",,,
445,hBP03-021,獅白ぼたん,"#5期生, #JP, #ケモミミ, #シューター",,,
444,hBP03-022,アキ・ローゼンタール,"#1期生, #JP, #お酒, #ハーフエルフ",,,
446,hBP03-023,兎田ぺこら,"#3期生, #JP, #ケモミミ",,,
447,hBP03-024,風真いろは,"#JP, #秘密結社holoX",,,
449,hBP03-025,さくらみこ,"#0期生, #JP, #ベイビー",,,
448,hBP03-026,さくらみこ,"#0期生, #JP, #ベイビー",,,
453,hBP03-027,さくらみこ,"#0期生, #JP, #ベイビー",,,
450,hBP03-028,さくらみこ,"#0期生, #JP, #ベイビー",,,
454,hBP03-029,さくらみこ,"#0期生, #JP, #ベイビー",,,
456,hBP03-030,さくらみこ,"#0期生, #JP, #ベイビー",,,
457,hBP03-031,赤井はあと,"#1期生, #JP, #料理",,,
452,hBP03-032,赤井はあと,"#1期生, #JP, #料理",,,
455,hBP03-033,赤井はあと,"#1期生, #JP, #料理",,,
451,hBP03-034,赤井はあと,"#1期生, #JP, #料理",,,
458,hBP03-035,鷹嶺ルイ,"#JP, #お酒, #トリ, #秘密結社holoX",,,
459,hBP03-036,小鳥遊キアラ,"#EN, #Myth, #トリ",,,
462,hBP03-037,モココ・アビスガード,"#Advent, #EN, #ケモミミ",,,
460,hBP03-038,モココ・アビスガード,"#Advent, #EN, #ケモミミ",,,
461,hBP03-039,モココ・アビスガード,"#Advent, #EN, #ケモミミ",,,
463,hBP03-040,フワワ・アビスガード,"#Advent, #EN, #ケモミミ",,,
464,hBP03-041,フワワ・アビスガード,"#Advent, #EN, #ケモミミ",,,
470,hBP03-042,フワワ・アビスガード,"#Advent, #EN, #ケモミミ",,,
468,hBP03-043,フワワ・アビスガード,"#Advent, #EN, #ケモミミ",,,
466,hBP03-044,星街すいせい,"#0期生, #JP, #歌",,,
467,hBP03-045,こぼ・かなえる,"#ID, #ID3期生",,,
469,hBP03-046,火威青,"#DEV_IS, #ReGLOSS, #絵",,,
471,hBP03-047,火威青,"#DEV_IS, #ReGLOSS, #絵",,,
472,hBP03-048,火威青,"#DEV_IS, #ReGLOSS, #絵",,,
465,hBP03-049,火威青,"#DEV_IS, #ReGLOSS, #絵",,,
473,hBP03-050,FUWAMOCO,"#Advent, #EN, #ケモミミ",,,
475,hBP03-051,常闇トワ,"#4期生, #JP, #シューター, #歌",,,
474,hBP03-052,常闇トワ,"#4期生, #JP, #シューター, #歌",,,
476,hBP03-053,常闇トワ,"#4期生, #JP, #シューター, #歌",,,
477,hBP03-054,常闇トワ,"#4期生, #JP, #シューター, #歌",,,
479,hBP03-055,常闇トワ,"#4期生, #JP, #シューター, #歌",,,
478,hBP03-056,常闇トワ,"#4期生, #JP, #シューター, #歌",,,
480,hBP03-057,ロボ子さん,"#0期生, #JP, #シューター",,,
487,hBP03-058,ロボ子さん,"#0期生, #JP, #シューター",,,
484,hBP03-059,ロボ子さん,"#0期生, #JP, #シューター",,,
486,hBP03-060,ロボ子さん,"#0期生, #JP, #シューター",,,
481,hBP03-061,戌神ころね,"#JP, #ケモミミ, #ゲーマーズ",,,
483,hBP03-062,戌神ころね,"#JP, #ケモミミ, #ゲーマーズ",,,
488,hBP03-063,戌神ころね,"#JP, #ケモミミ, #ゲーマーズ",,,
489,hBP03-064,戌神ころね,"#JP, #ケモミミ, #ゲーマーズ",,,
490,hBP03-065,戌神ころね,"#JP, #ケモミミ, #ゲーマーズ",,,
491,hBP03-066,戌神ころね,"#JP, #ケモミミ, #ゲーマーズ",,,
494,hBP03-067,角巻わため,"#4期生, #JP, #ケモミミ, #歌",,,
492,hBP03-068,角巻わため,"#4期生, #JP, #ケモミミ, #歌",,,
493,hBP03-069,角巻わため,"#4期生, #JP, #ケモミミ, #歌",,,
500,hBP03-070,角巻わため,"#4期生, #JP, #ケモミミ, #歌",,,
495,hBP03-071,角巻わため,"#4期生, #JP, #ケモミミ, #歌",,,
499,hBP03-072,角巻わため,"#4期生, #JP, #ケモミミ, #歌",,,
502,hBP03-073,アユンダ・リス,"#ID, #ID1期生, #ケモミミ, #歌",,,
496,hBP03-074,アユンダ・リス,"#ID, #ID1期生, #ケモミミ, #歌",,,
497,hBP03-075,アユンダ・リス,"#ID, #ID1期生, #ケモミミ, #歌",,,
501,hBP03-076,アユンダ・リス,"#ID, #ID1期生, #ケモミミ, #歌",,,
498,hBP03-077,アユンダ・リス,"#ID, #ID1期生, #ケモミミ, #歌",,,
503,hBP03-078,アユンダ・リス,"#ID, #ID1期生, #ケモミミ, #歌",,,
504,hBP03-079,不知火フレア,"#3期生, #JP, #ハーフエルフ",,,
506,hBP03-080,音乃瀬奏,"#DEV_IS, #ReGLOSS, #歌",,,
507,hBP03-081,音乃瀬奏,"#DEV_IS, #ReGLOSS, #歌",,,
505,hBP03-082,音乃瀬奏,"#DEV_IS, #ReGLOSS, #歌",,,
508,hBP03-083,音乃瀬奏,"#DEV_IS, #ReGLOSS, #歌",,,
72,hBP03-084,ゴージャスパソコン,,,,
73,hBP03-085,スーパーパソコン,,,,
74,hBP03-086,デュアルモニターパソコン,,,,
75,hBP03-087,コールアンドレスポンス,,,,
82,hBP03-088,凸待ち,,,,
76,hBP03-089,ファンミーティング,,,,
79,hBP03-090,ホロライブ言えるかな？,,,,
81,hBP03-091,ホロライブインドネシア1期生,,,,
77,hBP03-092,ホロライブ0期生,,,,
83,hBP03-093,ホロライブ4期生,,,,
80,hBP03-094,FPS配信,,,,
78,hBP03-095,ホロキャップ,,,,
84,hBP03-096,ライフル,,,,
85,hBP03-097,リコーダー,,,,
86,hBP03-098,金時,,,,
87,hBP03-099,マグチ,,,,
88,hBP03-100,ペロ,,,,
89,hBP03-101,ビビ,,,,
90,hBP03-102,フトイヌ,,,,
96,hBP03-103,ホソイヌ,,,,
95,hBP03-104,Riscot,,,,
509,hBP03-105,ルーナイト,,,,
98,hBP03-106,SSRB,,,,
93,hBP03-107,35P,,,,
91,hBP03-108,はあとん,#白上'sキャラクター,,,
97,hBP03-109,Ruffians,,,,
514,hBP03-110,ろぼさー,,,,
94,hBP03-111,ころねすきー,,,,
92,hBP03-112,わためいと,,,,
99,hBP03-113,Risuners,,,,
512,hBP04-001,博衣こより,,,,
511,hBP04-002,儒烏風亭らでん,,,,
516,hBP04-003,一条莉々華,,,,
513,hBP04-004,雪花ラミィ,,,,
510,hBP04-005,ラプラス・ダークネス,,,,
515,hBP04-006,大空スバル,,,,
517,hBP04-007,アーニャ・メルフィッサ,,,,
518,hBP04-008,博衣こより,"#JP, #ケモミミ, #秘密結社holoX",,,
519,hBP04-009,博衣こより,"#JP, #ケモミミ, #秘密結社holoX",,,
522,hBP04-010,博衣こより,"#JP, #ケモミミ, #秘密結社holoX",,,
520,hBP04-011,博衣こより,"#JP, #ケモミミ, #秘密結社holoX",,,
521,hBP04-012,博衣こより,"#JP, #ケモミミ, #秘密結社holoX",,,
523,hBP04-013,博衣こより,"#JP, #ケモミミ, #秘密結社holoX",,,
524,hBP04-014,白上フブキ,"#1期生, #JP, #ケモミミ, #ゲーマーズ, #絵",,,
530,hBP04-015,IRyS,"#EN, #Promise, #歌",,,
528,hBP04-016,ラオーラ・パンテーラ,"#EN, #Justice, #ケモミミ, #絵",,,
529,hBP04-017,ラオーラ・パンテーラ,"#EN, #Justice, #ケモミミ, #絵",,,
527,hBP04-018,ラオーラ・パンテーラ,"#EN, #Justice, #ケモミミ, #絵",,,
526,hBP04-019,ラオーラ・パンテーラ,"#EN, #Justice, #ケモミミ, #絵",,,
532,hBP04-020,儒烏風亭らでん,"#DEV_IS, #ReGLOSS, #お酒",,,
525,hBP04-021,儒烏風亭らでん,"#DEV_IS, #ReGLOSS, #お酒",,,
533,hBP04-022,儒烏風亭らでん,"#DEV_IS, #ReGLOSS, #お酒",,,
534,hBP04-023,儒烏風亭らでん,"#DEV_IS, #ReGLOSS, #お酒",,,
535,hBP04-024,儒烏風亭らでん,"#DEV_IS, #ReGLOSS, #お酒",,,
536,hBP04-025,儒烏風亭らでん,"#DEV_IS, #ReGLOSS, #お酒",,,
